Stock Symbol,Current Price,Year Target Price,Year High,Year Low
A,47.73,1.91,48.63,33.12
AA-B,null,null,null,null
AAN,25.97,2.26,40.80,20.24
AAT,44.67,1.86,46.38,34.07
AB,22.0100,1.7400,27.9200,16.1100
ABBV,64.440,4.810,68.120,45.450
ABEV,6.49,0.25,6.32,3.86
ABM,38.07,1.60,38.59,26.50
ABR-A,null,null,null,null
ABR-C,null,null,null,null
ABT,43.51,2.20,46.63,36.00
AC,33.050,2.720,36.510,24.670
ACCO,10.080,0.830,11.750,5.470
ACM,32.31,3.28,36.20,22.80
ACP,12.75,nan,13.28,9.33
ACV,19.05,2.39,19.40,14.26
ADC,47.82,2.52,51.33,27.74
ADPT,42.82,2.55,121.76,37.13
ADX,13.17,nan,13.88,10.96
AED,26.5400,null,26.6500,23.6500
AEG,3.88,0.55,6.38,3.36
AEK,26.90,null,28.38,25.04
AEM,53.34,0.66,60.10,21.22
AEP,65.14,3.69,71.32,52.29
AES,13.00,1.00,12.72,8.22
AET,117.59,8.05,123.57,92.42
AF,15.02,0.61,18.13,13.92
AFA,26.09,null,26.89,24.95
AFC,25.85,2.75,25.95,24.30
AFGE,27.790,null,28.283,25.180
AFI,20.49,0.63,20.67,11.77
AFS-A,null,null,null,null
AFS-C,null,null,null,null
AFS-E,null,null,null,null
AFSS,26.5700,null,26.8060,23.8400
AFT,16.49,nan,16.82,13.71
AG,13.17,0.18,19.15,2.40
AGCO,48.41,2.31,56.00,41.91
AGI,7.76,0.04,10.41,2.27
AGM-A,37.40,null,43.00,24.75
AGM-C,null,null,null,null
AGN,236.2800,14.0000,322.6800,195.5000
AGO,27.43,3.18,29.62,21.79
AGO-E,null,null,null,null
AGR,42.00,2.11,46.74,32.45
AGU,89.67,5.16,105.60,79.94
AHC,6.00,0.22,6.32,4.62
AHL,45.03,3.60,51.53,40.34
AHL-B,null,null,null,null
AHP,15.50,1.65,17.64,8.37
AHS,35.90,2.32,44.99,21.24
AHT-A,null,null,null,null
AHT-E,null,null,null,null
AIB,26.33,null,26.79,23.00
AIF,15.25,null,15.27,12.43
AIG.W,null,null,null,null
AIR,24.77,1.36,26.93,18.36
AIV,44.84,2.31,46.42,34.71
AIV-Z,null,null,null,null
AIY,27.06,null,27.21,22.73
AJG,49.570,2.780,49.970,35.960
AJX,13.44,1.69,14.48,9.06
AKO.B,null,null,null,null
AKR,36.77,1.58,38.01,28.34
AL,29.49,3.41,35.22,22.47
ALDW,11.61,-0.17,26.67,8.48
ALEX,40.11,0.97,42.80,28.82
ALJ,8.11,-1.11,19.84,5.86
ALL,78.00,4.40,70.38,56.03
ALL-B,null,null,null,null
ALL-D,null,null,null,null
ALL-F,null,null,null,null
ALLY,19.80,2.26,22.03,14.55
ALR,39.48,2.38,54.79,31.47
ALSN,28.19,1.10,30.52,20.56
ALX,443.79,20.55,450.04,350.03
AMBR,11.13,-0.51,11.29,3.42
AME,49.79,2.30,57.00,42.82
AMG,143.92,12.86,190.74,115.97
AMH-A,null,null,null,null
AMH-C,null,null,null,null
AMH-E,null,null,null,null
AMP,98.36,9.33,120.29,76.00
AMT,113.84,5.72,118.26,83.07
AMT-B,null,null,null,null
AMX,11.84,0.65,18.51,11.02
ANET,79.77,2.94,79.88,52.51
ANFI,7.37,1.60,14.09,3.80
ANH-A,null,null,null,null
ANH-C,null,null,null,null
ANTX,43.04,null,50.83,40.72
AOD,7.76,null,8.18,6.52
AON,999.00,6.53,111.60,83.83
AP,11.03,3.43,19.22,8.88
APAM,27.99,2.14,41.44,23.65
APC,55.7500,-2.8300,73.8700,28.1600
APF,14.79,nan,15.02,11.67
APLE,19.60,1.76,20.97,16.35
APTS,13.90,1.28,15.39,10.01
AR,27.88,0.60,30.66,18.50
ARC,3.3700,0.2500,6.7700,3.0600
ARCX,14.98,0.92,18.25,8.66
ARE,109.84,5.52,113.28,70.69
ARE-D,null,null,null,null
ARES,17.69,1.20,19.46,10.72
ARI,16.20,2.32,18.25,13.80
ARL,6.24,-4.60,7.49,3.89
AROC,11.73,0.06,24.17,3.41
ARP-D,null,null,null,null
ARR,22.15,3.50,23.23,16.61
ARR-B,null,null,null,null
ARW,65.73,6.65,68.07,45.23
ASB,19.78,1.23,20.90,15.45
ASB-C,null,null,null,null
ASG,4.44,null,5.00,3.45
ASH,116.98,6.87,123.17,88.30
ASR,154.28,6.07,167.86,119.99
AT,2.590,-0.330,2.750,1.570
ATHM,25.20,1.70,37.73,19.32
ATKR,17.60,1.04,18.22,14.17
ATR,78.81,3.18,81.50,63.62
ATU,23.91,1.22,27.71,17.02
ATW,8.39,4.63,19.65,4.82
AUO,4.030,0.090,4.420,2.320
AV,11.050,0.530,15.670,9.110
AVAL,8.480,0.560,8.700,5.590
AVD,16.97,0.47,17.92,9.63
AVH,6.76,0.44,7.65,3.40
AVP,5.810,0.140,5.840,2.210
AVV,25.62,null,27.28,25.06
AVY,77.30,3.92,79.27,55.29
AWH,40.3500,2.7800,42.1000,30.2900
AWK,75.49,2.83,85.24,50.74
AWR,40.70,1.63,47.24,36.73
AXL,17.19,3.14,23.00,11.44
AXON,16.75,-1.78,21.30,8.86
AXR,5.9800,-1.1600,6.2500,3.6600
AXS-C,null,null,null,null
AXTA,28.89,1.16,30.45,20.67
AYR,21.40,1.82,23.49,15.06
AZO,810.00,40.77,819.54,681.01
